AUDCAD;01.10.2017;5;75000;3;0.0001;0.00001;3
AUDCHF;01.10.2017;5;100000;4;0.0001;0.00001;3
AUDJPY;01.10.2017;3;900;3;0.01;0.001;3
AUDNZD;01.10.2017;5;68000;5;0.0001;0.00001;3
AUDUSD;01.10.2017;5;100000;3;0.0001;0.00001;3
AUS200;01.10.2017;3;25;3;1;1;6
CADCHF;01.10.2017;5;100000;5;0.0001;0.00001;3
CADJPY;01.10.2017;3;900;3;0.01;0.001;3
CHFJPY;01.10.2017;3;900;3;0.01;0.001;3
EURAUD;01.10.2017;5;73000;4;0.0001;0.00001;3
EURCAD;01.10.2017;5;75000;3;0.0001;0.00001;3
EURCHF;01.10.2017;5;100000;4;0.0001;0.00001;3
EURGBP;01.10.2017;5;132000;4;0.0001;0.00001;3
EURJPY;01.10.2017;3;900;3;0.01;0.001;3
EURMXN;01.10.2017;5;5300;30;0.01;0.001;3
EURNOK;01.10.2017;5;12200;36;0.0001;0.00001;3
EURNZD;01.10.2017;5;68000;4;0.0001;0.00001;3
EURSGD;14.10.2018;5;73000;41;0.0001;0.00001;3
EURTRY;01.10.2017;5;21000;45;0.0001;0.00001;3
EURUSD;01.10.2017;5;100000;3;0.0001;0.00001;3
FCHI;27.06.2018;3;12;3;1;0.1;6
GBPAUD;01.10.2017;5;73000;8;0.0001;0.00001;3
GBPCAD;01.10.2017;5;75000;8;0.0001;0.00001;3
GBPCHF;01.10.2017;5;100000;8;0.0001;0.00001;3
GBPJPY;01.10.2017;3;900;5;0.01;0.001;3
GBPMXN;01.10.2017;3;5300;5;0.00001;0.00001;3
GBPNOK;01.10.2017;5;11800;12;0.0001;0.00001;3
GBPNZD;01.10.2017;5;68000;12;0.0001;0.00001;3
GBPTRY;01.10.2017;5;17200;120;0.0001;0.00001;3
GBPUSD;01.10.2017;5;100000;3;0.0001;0.00001;3
GDAXIm;27.06.2018;3;30;3;1;0.1;6
NI225;01.10.2017;3;10;10;1;0.1;6
NDXm;27.06.2018;3;12;12;1;0.1;6
NZDCAD;01.10.2017;5;75000;5;0.0001;0.00001;3
NZDCHF;01.10.2017;5;100000;5;0.0001;0.00001;3
